time_of_day,is_walking,is_gps_moving,movement_speed_kmh,playback_duration_minutes,is_repeated_playback,current_signal,is_weak_signal,sig_hist_t_1,sig_hist_t_2,sig_hist_t_3,sig_hist_t_4,sig_hist_t_5,disconnect_probability,label_will_disconnect
6,0,0,0.0,37.26094725203799,0,3,0,3,3,3,3,3,0.21000866199965043,0
19,1,1,3.3407238185314965,2.3119523333403524,0,2,0,3,2,2,2,2,0.566737631711222,0
14,1,1,2.5765627592080795,11.396947391913999,0,3,0,2,3,3,3,3,0.38798780310957914,0
10,0,0,0.0,1.570258248500458,0,3,0,3,2,3,3,3,0.17890421455742764,0
7,0,0,0.0,8.8911499841255,0,4,0,3,3,2,3,4,0.19727169528095326,0
20,0,0,0.0,5.33467860023505,0,4,0,4,3,3,2,3,0.10053177067100644,0
6,1,1,5.316358101774277,8.17336948357375,0,4,0,4,4,3,3,2,0.27384083629185063,0
18,1,1,5.48450380557343,11.812972045372785,0,4,0,4,4,4,3,3,0.29060540022323117,0
22,1,1,4.997648195316228,9.227206869940968,1,3,0,4,4,4,4,3,0.36299798289042995,0
10,1,1,3.1739367537664807,0.5,0,2,0,3,4,4,4,4,0.3818768411653043,0
10,0,0,0.0,29.866312106984477,0,2,0,2,3,4,4,4,0.304531995262243,0
23,0,0,0.0,1.4965497655393294,0,2,0,2,2,3,4,4,0.31226230418989004,0
20,0,0,0.0,59.15842709677424,0,2,0,2,2,2,3,4,0.35020351526483223,0
3,0,0,0.0,28.5892430781672,0,2,0,2,2,2,2,3,0.3638046048972826,0
7,0,0,0.0,12.36166533151974,0,2,0,2,2,2,2,2,0.3243911042862544,0
23,0,0,0.0,4.219403356311341,0,2,0,2,2,2,2,2,0.3916266037593823,0
2,0,1,25.0,1.3529109222384954,0,1,1,2,2,2,2,2,0.6981594496289893,1
21,0,0,0.0,16.713587815085685,0,1,1,1,2,2,2,2,0.4612632963480586,0
20,1,1,5.529652410839519,3.375481128686417,1,1,1,1,1,2,2,2,0.8011053121982693,1
